round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.21052631735801697
1,TEST,14,0.42105263471603394
2,TEST,21,0.5789473652839661
3,TEST,28,0.31578946113586426
4,TEST,35,0.31578946113586426
