round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.4736842215061188
1,TEST,8,0.5789473652839661
2,TEST,9,0.4736842215061188
3,TEST,10,0.42105263471603394
4,TEST,11,0.42105263471603394
5,TEST,12,0.31578946113586426
6,TEST,13,0.42105263471603394
7,TEST,14,0.31578946113586426
8,TEST,15,0.42105263471603394
9,TEST,16,0.42105263471603394
10,TEST,17,0.42105263471603394
11,TEST,18,0.3684210479259491
12,TEST,19,0.5263158082962036
13,TEST,20,0.42105263471603394
14,TEST,21,0.4736842215061188
15,TEST,22,0.31578946113586426
16,TEST,23,0.31578946113586426
17,TEST,24,0.4736842215061188
18,TEST,25,0.5263158082962036
19,TEST,26,0.5263158082962036
20,TEST,27,0.2631579041481018
21,TEST,28,0.5263158082962036
22,TEST,29,0.31578946113586426
23,TEST,30,0.5263158082962036
24,TEST,31,0.42105263471603394
25,TEST,32,0.31578946113586426
26,TEST,33,0.5263158082962036
27,TEST,34,0.5263158082962036
28,TEST,35,0.31578946113586426
29,TEST,36,0.5263158082962036
30,TEST,37,0.5263158082962036
31,TEST,38,0.3684210479259491
32,TEST,39,0.4736842215061188
33,TEST,40,0.3684210479259491
34,TEST,41,0.3684210479259491
