round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.5263158082962036
1,TEST,14,0.5789473652839661
2,TEST,21,0.6315789222717285
3,TEST,28,0.7368420958518982
4,TEST,35,0.6842105388641357
