round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.5263158082962036
1,TEST,14,0.42105263471603394
2,TEST,21,0.8421052694320679
3,TEST,28,0.6315789222717285
4,TEST,35,0.6315789222717285
