round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.5789473652839661
1,TEST,8,0.6315789222717285
2,TEST,9,0.6315789222717285
3,TEST,10,0.6842105388641357
4,TEST,11,0.6315789222717285
5,TEST,12,0.6842105388641357
6,TEST,13,0.7368420958518982
7,TEST,14,0.7368420958518982
8,TEST,15,0.7368420958518982
9,TEST,16,0.7368420958518982
10,TEST,17,0.7368420958518982
11,TEST,18,0.7368420958518982
12,TEST,19,0.7368420958518982
13,TEST,20,0.7368420958518982
14,TEST,21,0.7368420958518982
15,TEST,22,0.7368420958518982
16,TEST,23,0.7894737124443054
17,TEST,24,0.7368420958518982
18,TEST,25,0.7368420958518982
19,TEST,26,0.7368420958518982
20,TEST,27,0.7894737124443054
21,TEST,28,0.7894737124443054
22,TEST,29,0.7894737124443054
23,TEST,30,0.7894737124443054
24,TEST,31,0.7368420958518982
25,TEST,32,0.7368420958518982
26,TEST,33,0.7368420958518982
27,TEST,34,0.7368420958518982
28,TEST,35,0.7368420958518982
29,TEST,36,0.7368420958518982
