round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.42105263471603394
1,TEST,14,0.42105263471603394
2,TEST,21,0.6315789222717285
3,TEST,28,0.5263158082962036
4,TEST,35,0.42105263471603394
5,TEST,42,0.5263158082962036
6,TEST,49,0.4736842215061188
7,TEST,56,0.5263158082962036
8,TEST,63,0.5789473652839661
9,TEST,70,0.5789473652839661
