round,phase,num_labeled_nodes,accuracy
0,TEST,1,0.3684210479259491
1,TEST,2,0.42105263471603394
2,TEST,3,0.4736842215061188
3,TEST,4,0.4736842215061188
4,TEST,5,0.3684210479259491
5,TEST,6,0.5789473652839661
6,TEST,7,0.4736842215061188
7,TEST,8,0.3684210479259491
8,TEST,9,0.42105263471603394
9,TEST,10,0.6842105388641357
10,TEST,11,0.5789473652839661
11,TEST,12,0.5263158082962036
12,TEST,13,0.6315789222717285
13,TEST,14,0.6315789222717285
14,TEST,15,0.6315789222717285
15,TEST,16,0.7894737124443054
16,TEST,17,0.5263158082962036
17,TEST,18,0.7894737124443054
18,TEST,19,0.7894737124443054
19,TEST,20,0.7894737124443054
20,TEST,21,0.7894737124443054
21,TEST,22,0.5263158082962036
22,TEST,23,0.7894737124443054
23,TEST,24,0.7894737124443054
24,TEST,25,0.7894737124443054
25,TEST,26,0.7894737124443054
26,TEST,27,0.7894737124443054
27,TEST,28,0.7894737124443054
28,TEST,29,0.7894737124443054
29,TEST,30,0.7894737124443054
30,TEST,31,0.7894737124443054
31,TEST,32,0.7894737124443054
32,TEST,33,0.7894737124443054
33,TEST,34,0.6842105388641357
34,TEST,35,0.7368420958518982
