round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.3684210479259491
1,TEST,8,0.42105263471603394
2,TEST,9,0.4736842215061188
3,TEST,10,0.4736842215061188
4,TEST,11,0.5263158082962036
5,TEST,12,0.5789473652839661
6,TEST,13,0.5789473652839661
7,TEST,14,0.5789473652839661
8,TEST,15,0.5789473652839661
9,TEST,16,0.5789473652839661
10,TEST,17,0.6315789222717285
11,TEST,18,0.5789473652839661
12,TEST,19,0.6315789222717285
13,TEST,20,0.5263158082962036
14,TEST,21,0.6315789222717285
15,TEST,22,0.6315789222717285
16,TEST,23,0.6842105388641357
17,TEST,24,0.6315789222717285
18,TEST,25,0.6315789222717285
19,TEST,26,0.7368420958518982
20,TEST,27,0.7368420958518982
21,TEST,28,0.6315789222717285
22,TEST,29,0.6315789222717285
23,TEST,30,0.6315789222717285
24,TEST,31,0.6315789222717285
25,TEST,32,0.6315789222717285
26,TEST,33,0.5789473652839661
27,TEST,34,0.5263158082962036
28,TEST,35,0.5263158082962036
29,TEST,36,0.5263158082962036
